#name	geneName
ENST00000593188.5	PEF1-AS1
ENST00000609373.5	PEF1-AS1
ENST00000587445.5	PEF1-AS1
ENST00000591929.5	PEF1-AS1
ENST00000609338.3	PEF1-AS1
ENST00000373672.8	COL16A1
ENST00000488128.6	COL16A1
ENST00000488897.5	COL16A1
ENST00000461217.1	COL16A1
ENST00000445166.1	PEF1-AS1
ENST00000623786.2	PEF1-AS1
ENST00000440437.1	COL16A1
ENST00000588288.1	PEF1-AS1
ENST00000466829.5	COL16A1
ENST00000470799.5	COL16A1
ENST00000482910.1	COL16A1
ENST00000468459.5	COL16A1
ENST00000479100.1	COL16A1
ENST00000458715.5	COL16A1
ENST00000373668.7	COL16A1
ENST00000474000.5	COL16A1
ENST00000482478.5	COL16A1
ENST00000529928.1	COL16A1
ENST00000373667.4	COL16A1
ENST00000532877.1	COL16A1
ENST00000398556.7	ADGRB2
ENST00000398547.5	ADGRB2
ENST00000373655.6	ADGRB2
ENST00000398542.5	ADGRB2
ENST00000465256.5	ADGRB2
ENST00000373658.7	ADGRB2
ENST00000530999.1	ADGRB2
ENST00000527361.5	ADGRB2
ENST00000398538.5	ADGRB2
ENST00000466109.1	ADGRB2
ENST00000420125.5	ADGRB2
ENST00000530134.5	ADGRB2
ENST00000533175.1	ADGRB2
ENST00000468430.1	ADGRB2
ENST00000436464.1	ADGRB2
ENST00000581063.1	MIR4254
ENST00000527035.1	AL354919.2
ENST00000257100.7	SPOCD1
ENST00000360482.6	SPOCD1
ENST00000473361.5	SPOCD1
ENST00000452755.6	SPOCD1
ENST00000533231.5	SPOCD1
ENST00000528579.1	SPOCD1
ENST00000532604.5	SPOCD1
ENST00000531039.5	SPOCD1
ENST00000468720.5	SPOCD1
ENST00000460061.5	SPOCD1
ENST00000485944.5	SPOCD1
ENST00000529396.1	SPOCD1
ENST00000528791.5	SPOCD1
ENST00000525930.1	SPOCD1
ENST00000453837.1	AL354919.1
ENST00000602889.1	AL136115.2
ENST00000602725.5	PTP4A2
ENST00000647444.2	PTP4A2
ENST00000649841.1	PTP4A2
ENST00000457805.6	PTP4A2
ENST00000489313.1	PTP4A2
ENST00000602683.5	PTP4A2
ENST00000470404.5	PTP4A2
ENST00000532001.6	PTP4A2
ENST00000528253.3	PTP4A2
ENST00000484483.1	PTP4A2
ENST00000468531.1	PTP4A2
ENST00000534796.5	PTP4A2
ENST00000532289.1	PTP4A2
ENST00000526960.1	PTP4A2
ENST00000524384.5	PTP4A2
ENST00000528840.1	PTP4A2
ENST00000494444.2	PTP4A2
ENST00000529477.5	PTP4A2
ENST00000533408.1	PTP4A2
ENST00000475464.1	PTP4A2
ENST00000447478.1	AL136115.1
ENST00000641788.1	AL136115.3
ENST00000327300.12	KHDRBS1
ENST00000307714.12	KHDRBS1
ENST00000492989.1	KHDRBS1
ENST00000484270.2	KHDRBS1
ENST00000366152.3	AL445248.1
ENST00000487305.5	TMEM39B
ENST00000438825.5	TMEM39B
ENST00000336294.10	TMEM39B
ENST00000441402.5	TMEM39B
ENST00000472503.5	TMEM39B
ENST00000468135.5	TMEM39B
ENST00000466321.5	TMEM39B
ENST00000476968.5	TMEM39B
ENST00000498613.1	TMEM39B
ENST00000577515.1	MIR5585
ENST00000613387.1	Metazoa_SRP
ENST00000373625.8	KPNA6
ENST00000471599.5	KPNA6
ENST00000469790.1	KPNA6
ENST00000446515.1	KPNA6
ENST00000515055.1	AL049795.2
ENST00000373610.8	TXLNA
ENST00000373609.1	TXLNA
ENST00000373602.10	CCDC28B
ENST00000469003.5	CCDC28B
ENST00000421922.6	CCDC28B
ENST00000461819.5	CCDC28B
ENST00000483009.1	CCDC28B
ENST00000373604.4	AL049795.1
ENST00000421616.1	AL049795.1
ENST00000617816.1	IQCC
ENST00000291358.11	IQCC
ENST00000537469.2	IQCC
ENST00000409358.1	DCDC2B
ENST00000487056.1	DCDC2B
ENST00000466796.1	TMEM234
ENST00000495091.5	TMEM234
ENST00000491434.5	TMEM234
ENST00000489170.5	TMEM234
ENST00000461402.5	TMEM234
ENST00000483001.5	TMEM234
ENST00000373593.5	TMEM234
ENST00000344461.7	TMEM234
ENST00000309777.11	TMEM234
ENST00000484490.1	TMEM234
ENST00000485689.1	TMEM234
ENST00000487174.1	TMEM234
ENST00000677701.1	EIF3I
ENST00000677760.1	EIF3I
ENST00000676801.1	EIF3I
ENST00000677772.1	EIF3I
ENST00000677202.1	EIF3I
ENST00000677844.1	EIF3I
ENST00000677711.1	EIF3I
ENST00000676679.1	EIF3I
ENST00000677676.1	EIF3I
ENST00000678689.1	EIF3I
ENST00000373586.2	EIF3I
ENST00000474371.2	EIF3I
ENST00000677767.1	EIF3I
ENST00000678889.1	EIF3I
ENST00000677378.1	EIF3I
ENST00000677640.1	EIF3I
ENST00000678534.1	EIF3I
ENST00000679290.1	EIF3I
ENST00000676554.1	EIF3I
ENST00000676998.1	EIF3I
ENST00000678842.1	EIF3I
ENST00000678968.1	EIF3I
ENST00000678063.1	EIF3I
ENST00000678150.1	EIF3I
ENST00000677198.1	EIF3I
ENST00000677540.1	EIF3I
ENST00000676837.1	EIF3I
ENST00000678420.1	EIF3I
ENST00000677183.1	EIF3I
ENST00000678162.1	EIF3I
ENST00000678711.1	EIF3I
ENST00000678883.1	EIF3I
ENST00000677353.1	EIF3I
ENST00000355082.10	EIF3I
ENST00000679270.1	EIF3I
ENST00000677580.1	EIF3I
ENST00000677053.1	EIF3I
ENST00000489353.6	EIF3I
ENST00000471486.6	EIF3I
ENST00000676957.1	EIF3I
ENST00000483517.5	EIF3I
ENST00000678306.1	EIF3I
ENST00000679044.1	EIF3I
ENST00000678106.1	EIF3I
ENST00000423995.5	MTMR9LP
ENST00000403496.6	MTMR9LP
ENST00000441044.5	MTMR9LP
ENST00000426597.2	MTMR9LP
ENST00000373582.4	FAM167B
ENST00000373564.7	LCK
ENST00000482949.5	LCK
ENST00000336890.10	LCK
ENST00000495610.6	LCK
ENST00000355928.7	LCK
ENST00000476457.5	LCK
ENST00000469765.5	LCK
ENST00000615681.1	Metazoa_SRP
ENST00000619559.4	LCK
ENST00000461712.6	LCK
ENST00000373562.7	LCK
ENST00000477031.6	LCK
ENST00000373557.6	LCK
ENST00000333070.4	LCK
ENST00000469956.1	LCK
ENST00000516641.1	Y_RNA
ENST00000373548.8	HDAC1
ENST00000481281.5	HDAC1
ENST00000463172.5	HDAC1
ENST00000428704.1	HDAC1
ENST00000472928.5	HDAC1
ENST00000490081.5	HDAC1
ENST00000482310.5	HDAC1
ENST00000476391.5	HDAC1
ENST00000484305.1	HDAC1
ENST00000471488.1	HDAC1
ENST00000329421.8	MARCKSL1
ENST00000448134.1	AL109945.1
ENST00000421153.2	TSSK3
ENST00000574792.1	TSSK3
ENST00000574315.1	TSSK3
ENST00000432622.1	FAM229A
ENST00000416512.1	FAM229A
ENST00000428500.1	FAM229A
ENST00000415596.1	FAM229A
ENST00000373534.4	TSSK3
ENST00000455895.7	BSDC1
ENST00000444377.5	BSDC1
ENST00000341071.11	BSDC1
ENST00000526031.5	BSDC1
ENST00000419121.6	BSDC1
ENST00000446293.6	BSDC1
ENST00000463967.1	BSDC1
ENST00000373520.8	BSDC1
ENST00000527513.5	BSDC1
ENST00000527163.5	BSDC1
ENST00000530485.1	BSDC1
ENST00000474414.5	BSDC1
ENST00000530876.5	BSDC1
ENST00000530753.1	BSDC1
ENST00000533084.1	BSDC1
ENST00000531222.1	BSDC1
ENST00000444107.1	GAPDHP20
ENST00000604085.1	AL356986.1
ENST00000454917.1	LRRC37A12P
ENST00000579362.2	RN7SL122P
ENST00000480336.1	AL033529.1
ENST00000609129.2	ZBTB8B
ENST00000373510.9	ZBTB8A
ENST00000316459.4	ZBTB8A
ENST00000341885.5	ZBTB8OS
ENST00000468695.5	ZBTB8OS
ENST00000492007.5	ZBTB8OS
ENST00000373506.7	ZBTB8OS
ENST00000467652.5	ZBTB8OS
ENST00000498691.5	ZBTB8OS
ENST00000373501.6	ZBTB8OS
ENST00000473294.6	ZBTB8OS
ENST00000436661.5	ZBTB8OS
ENST00000476493.5	ZBTB8OS
ENST00000465588.2	ZBTB8OS
ENST00000483138.5	ZBTB8OS
ENST00000479075.5	ZBTB8OS
ENST00000473383.1	ZBTB8OS
ENST00000466361.1	ZBTB8OS
ENST00000363721.1	Y_RNA
ENST00000414241.7	RBBP4
ENST00000527118.5	RBBP4
ENST00000373493.10	RBBP4
ENST00000401893.7	RBBP4
ENST00000524393.5	RBBP4
ENST00000526193.5	RBBP4
ENST00000492348.6	RBBP4
ENST00000525506.1	RBBP4
ENST00000465780.1	RBBP4
ENST00000373485.5	RBBP4
ENST00000477563.6	RBBP4
ENST00000458695.6	RBBP4
ENST00000490500.5	RBBP4
ENST00000445722.2	RBBP4
ENST00000475321.5	RBBP4
ENST00000531983.1	RBBP4
ENST00000463378.5	RBBP4
ENST00000460669.5	RBBP4
ENST00000482190.1	RBBP4
ENST00000409190.8	SYNC
ENST00000373484.4	SYNC
ENST00000417633.1	SYNC
ENST00000426909.1	SYNC
ENST00000421619.1	AC114489.1
ENST00000401073.7	KIAA1522
ENST00000468130.1	KIAA1522
ENST00000373481.7	KIAA1522
ENST00000294521.7	KIAA1522
ENST00000373480.1	KIAA1522
ENST00000469100.5	YARS1
ENST00000373477.8	YARS1
ENST00000490826.1	YARS1
ENST00000676297.1	YARS1
ENST00000674654.1	YARS1
ENST00000674629.1	YARS1
ENST00000675785.1	YARS1
ENST00000487404.5	YARS1
ENST00000478828.1	YARS1
ENST00000481895.6	YARS1
ENST00000616261.2	YARS1
ENST00000466052.1	YARS1
ENST00000470377.1	YARS1
ENST00000472692.1	YARS1
ENST00000530710.5	S100PBP
ENST00000373476.5	S100PBP
ENST00000529027.5	S100PBP
ENST00000531123.5	S100PBP
ENST00000356689.7	S100PBP
ENST00000526230.1	S100PBP
ENST00000373475.10	S100PBP
ENST00000531256.1	S100PBP
ENST00000477248.1	S100PBP
ENST00000482212.1	S100PBP
ENST00000474103.1	S100PBP
ENST00000530552.1	S100PBP
ENST00000525203.5	S100PBP
ENST00000524535.5	S100PBP
ENST00000527692.1	S100PBP
ENST00000475486.1	S100PBP
ENST00000483143.1	FNDC5
ENST00000481487.1	FNDC5
ENST00000373471.9	FNDC5
ENST00000649537.2	FNDC5
ENST00000497068.1	FNDC5
ENST00000496770.1	FNDC5
ENST00000465346.1	FNDC5
ENST00000470166.5	HPCA
ENST00000480118.5	HPCA
ENST00000459874.5	HPCA
ENST00000373467.4	HPCA
ENST00000470896.1	HPCA
ENST00000482771.1	TMEM54
ENST00000329151.5	TMEM54
ENST00000373463.8	TMEM54
ENST00000474144.5	TMEM54
ENST00000475208.5	TMEM54
ENST00000463914.1	TMEM54
ENST00000661031.1	AL031602.2
ENST00000373456.11	RNF19B
ENST00000235150.5	RNF19B
ENST00000356990.9	RNF19B
ENST00000633169.1	AL031602.1
ENST00000623226.1	AL031602.1
ENST00000401937.3	AL355864.1
ENST00000447420.1	AL355864.2
ENST00000427524.1	AL020995.1
ENST00000629371.2	AK2
ENST00000373449.7	AK2
ENST00000672715.1	AK2
ENST00000354858.11	AK2
ENST00000672308.1	AK2
ENST00000548033.5	AK2
ENST00000482191.1	AK2
ENST00000491241.1	AK2
ENST00000467905.5	AK2
ENST00000480134.5	AK2
ENST00000550338.5	AK2
ENST00000469238.1	AK2
ENST00000466029.1	AK2
ENST00000673291.1	AK2
ENST00000487289.1	AK2
ENST00000548559.1	AK2
ENST00000551979.1	AK2
ENST00000610352.1	Metazoa_SRP
ENST00000626911.1	AK2
ENST00000478635.5	AZIN2
ENST00000481886.5	AZIN2
ENST00000475935.5	AZIN2
ENST00000294517.11	AZIN2
ENST00000462920.5	AZIN2
ENST00000471119.5	AZIN2
ENST00000495135.5	AZIN2
ENST00000477570.5	AZIN2
ENST00000483027.5	AZIN2
ENST00000492420.5	AZIN2
ENST00000373443.7	AZIN2
ENST00000497710.5	AZIN2
ENST00000473089.5	AZIN2
ENST00000652171.1	AZIN2
ENST00000484656.5	AZIN2
ENST00000373440.6	AZIN2
ENST00000652381.1	AZIN2
ENST00000373441.1	AZIN2
ENST00000478204.5	AZIN2
ENST00000497280.1	AZIN2
ENST00000492521.1	AZIN2
ENST00000622988.1	AL662907.1
ENST00000291416.10	TRIM62
ENST00000543586.1	TRIM62
ENST00000485148.1	TRIM62
ENST00000624339.1	AL662907.2
ENST00000486583.1	TRIM62
ENST00000641271.1	AL662907.3
ENST00000641727.1	AL662907.3
ENST00000539719.6	ZNF362
ENST00000483388.5	ZNF362
ENST00000490959.2	ZNF362
ENST00000602618.1	AL513327.2
ENST00000373428.5	ZNF362
ENST00000477934.1	ZNF362
ENST00000442999.3	A3GALT2
ENST00000627421.1	AL513327.1
ENST00000588828.1	AL513327.1
ENST00000624453.3	AL513327.1
ENST00000630229.1	AL513327.1
ENST00000457957.2	AL513327.1
ENST00000587696.2	AL513327.1
ENST00000625117.1	AL513327.1
ENST00000624012.1	AL513327.1
ENST00000431992.5	PHC2
ENST00000485928.5	PHC2
ENST00000373418.7	PHC2
ENST00000373422.7	PHC2
ENST00000257118.5	PHC2
ENST00000467894.5	PHC2
ENST00000628643.2	AL513327.1
ENST00000630909.2	AL513327.1
ENST00000627130.1	AL513327.1
ENST00000486897.5	PHC2
ENST00000493483.5	PHC2
ENST00000473158.1	PHC2
ENST00000583214.3	MIR3605
ENST00000410180.1	RN7SKP16
ENST00000432703.1	PHC2-AS1
ENST00000459964.1	PHC2
ENST00000468406.5	PHC2
ENST00000484692.1	PHC2
ENST00000413515.1	TLR12P
ENST00000361328.7	ZSCAN20
ENST00000373413.2	ZSCAN20
ENST00000480917.1	ZSCAN20
ENST00000424879.2	AC115285.1
ENST00000373381.8	CSMD2
ENST00000373388.6	CSMD2
ENST00000619121.4	CSMD2
ENST00000241312.8	CSMD2
ENST00000465819.1	CSMD2
ENST00000373380.5	CSMD2
ENST00000489419.1	CSMD2
ENST00000373377.1	CSMD2
ENST00000338325.1	CSMD2
ENST00000471438.2	CSMD2
ENST00000432666.2	HSPD1P14
ENST00000519684.5	HMGB4
ENST00000522796.1	HMGB4
ENST00000458277.1	HMGB4
ENST00000425537.1	HMGB4
ENST00000425631.5	CSMD2-AS1
ENST00000668264.1	CSMD2-AS1
ENST00000654712.1	CSMD2-AS1
ENST00000659019.1	CSMD2-AS1
ENST00000663192.1	CSMD2-AS1
ENST00000662460.1	CSMD2-AS1
ENST00000661540.1	CSMD2-AS1
ENST00000665318.1	CSMD2-AS1
ENST00000663471.1	CSMD2-AS1
ENST00000434181.6	CSMD2-AS1
ENST00000664189.1	CSMD2-AS1
ENST00000661122.1	CSMD2-AS1
ENST00000659870.1	CSMD2-AS1
ENST00000432447.5	CSMD2-AS1
ENST00000414868.1	CSMD2-AS1
ENST00000653768.1	CSMD2-AS1
ENST00000660205.1	CSMD2-AS1
ENST00000667628.1	CSMD2-AS1
ENST00000653656.1	CSMD2-AS1
ENST00000438719.1	CSMD2-AS1
ENST00000431046.1	CSMD2-AS1
ENST00000364278.1	RNA5SP42
ENST00000373374.7	C1orf94
ENST00000488417.2	C1orf94
ENST00000604298.1	AC115286.1
ENST00000666642.1	AC099565.1
ENST00000385206.1	MIR552
ENST00000426886.1	SMIM12
ENST00000338513.1	GJB5
ENST00000339480.3	GJB4
ENST00000542839.1	AL121988.1
ENST00000373366.3	GJB3
ENST00000373362.3	GJB3
ENST00000450137.1	GJA4
ENST00000342280.5	GJA4
ENST00000521580.3	SMIM12
ENST00000429293.1	AL122010.1
ENST00000446026.1	SMIM12
ENST00000456842.1	SMIM12
ENST00000423898.1	SMIM12
ENST00000417239.1	SMIM12
ENST00000235180.4	DLGAP3
ENST00000373347.6	DLGAP3
ENST00000495979.1	DLGAP3
ENST00000417456.1	AC114490.3
ENST00000311990.4	AC114490.1
ENST00000642415.1	AC114490.1
ENST00000487874.1	AC114490.2
ENST00000373337.3	TMEM35B
ENST00000493328.5	ZMYM6
ENST00000357182.9	ZMYM6
ENST00000466345.1	ZMYM6
ENST00000472971.1	ZMYM6
ENST00000415531.5	ZMYM6
ENST00000317538.9	ZMYM6
ENST00000460607.1	ZMYM6
ENST00000373333.1	ZMYM6
ENST00000471566.1	ZMYM6
ENST00000650449.1	ZMYM1
ENST00000428087.1	RPL12P45
ENST00000417119.5	ZMYM1
ENST00000611874.4	ZMYM1
ENST00000466390.5	ZMYM1
ENST00000359858.9	ZMYM1
ENST00000488455.5	ZMYM1
ENST00000475654.5	ZMYM1
ENST00000373329.5	ZMYM1
ENST00000373330.1	ZMYM1
ENST00000476269.1	ZMYM1
ENST00000463393.1	ZMYM1
ENST00000442409.1	EFCAB14P1
ENST00000641402.1	AL590434.1
ENST00000471991.5	SFPQ
ENST00000468598.5	SFPQ
ENST00000460428.5	SFPQ
ENST00000470472.5	SFPQ
ENST00000466745.5	SFPQ
ENST00000466213.5	SFPQ
ENST00000490668.5	SFPQ
ENST00000485365.1	SFPQ
ENST00000485454.1	SFPQ
ENST00000357214.6	SFPQ
ENST00000364998.1	Y_RNA
ENST00000314607.11	ZMYM4
ENST00000441447.1	ZMYM4
ENST00000475222.3	RN7SL503P
ENST00000364672.1	SNORA62
ENST00000434805.1	RPL5P4
ENST00000432683.1	ZMYM4-AS1
ENST00000457946.1	ZMYM4
ENST00000482131.1	ZMYM4
ENST00000470175.1	ZMYM4
ENST00000610617.1	Metazoa_SRP
ENST00000492456.1	ZMYM4
ENST00000325722.8	KIAA0319L
ENST00000373266.8	KIAA0319L
ENST00000426982.6	KIAA0319L
ENST00000461312.5	KIAA0319L
ENST00000485551.5	KIAA0319L
ENST00000473423.1	KIAA0319L
ENST00000473844.1	KIAA0319L
ENST00000474856.1	KIAA0319L
ENST00000492544.1	KIAA0319L
ENST00000440579.5	KIAA0319L
ENST00000467109.1	KIAA0319L
ENST00000431916.5	KIAA0319L
ENST00000482929.6	KIAA0319L
ENST00000478463.6	KIAA0319L
ENST00000470388.5	KIAA0319L
ENST00000492888.1	KIAA0319L
ENST00000469892.5	KIAA0319L
ENST00000494948.1	KIAA0319L
ENST00000442276.1	AC004865.1
ENST00000476329.1	KIAA0319L
ENST00000473465.1	KIAA0319L
ENST00000373253.7	NCDN
ENST00000356090.8	NCDN
ENST00000373243.7	NCDN
ENST00000459931.1	NCDN
ENST00000437806.1	NCDN
ENST00000423723.1	NCDN
ENST00000425881.1	TFAP2E-AS1
ENST00000444348.1	TFAP2E-AS1
ENST00000373235.4	TFAP2E
ENST00000650429.1	TFAP2E
ENST00000373237.4	PSMB2
ENST00000621781.4	PSMB2
ENST00000630477.1	PSMB2
ENST00000270815.5	C1orf216
ENST00000503824.1	C1orf216
ENST00000453178.1	C1orf216
ENST00000251195.9	CLSPN
ENST00000318121.8	CLSPN
ENST00000466308.1	CLSPN
ENST00000373220.7	CLSPN
ENST00000520551.1	CLSPN
ENST00000373226.2	AL354864.1
ENST00000517467.1	CLSPN
ENST00000373210.4	AGO4
ENST00000488778.1	AGO4
ENST00000496257.1	AGO4
ENST00000373206.5	AGO1
ENST00000604465.1	CFAP97P1
ENST00000674304.1	AGO1
ENST00000373204.6	AGO1
ENST00000674426.1	AGO1
ENST00000635259.1	AGO1
ENST00000655341.1	AL139286.2
ENST00000606838.1	AL139286.1
ENST00000324350.9	AGO3
ENST00000397828.3	AGO3
ENST00000634486.1	AGO3
ENST00000373191.9	AGO3
ENST00000246314.10	AGO3
ENST00000491443.2	AGO3
ENST00000466576.2	AL138787.2
ENST00000479395.2	AL138787.2
ENST00000471099.1	AGO3
ENST00000446354.2	AL138787.1
ENST00000437804.2	AL138787.1
ENST00000207457.8	TEKT2
ENST00000469024.1	TEKT2
ENST00000473120.1	TEKT2
ENST00000373178.5	ADPRS
ENST00000397799.2	COL8A2
ENST00000303143.9	COL8A2
ENST00000481785.1	COL8A2
ENST00000616074.4	TRAPPC3
ENST00000616395.4	TRAPPC3
ENST00000617904.4	TRAPPC3
ENST00000373166.8	TRAPPC3
ENST00000462715.1	TRAPPC3
ENST00000373163.5	TRAPPC3
ENST00000373162.5	TRAPPC3
ENST00000469757.1	TRAPPC3
ENST00000373159.1	TRAPPC3
ENST00000497251.1	TRAPPC3
ENST00000429533.6	MAP7D1
ENST00000316156.8	MAP7D1
ENST00000527764.1	MAP7D1
ENST00000373150.8	MAP7D1
ENST00000373151.6	MAP7D1
ENST00000530729.1	MAP7D1
ENST00000462118.1	MAP7D1
ENST00000474796.1	MAP7D1
ENST00000530975.4	MAP7D1
ENST00000487131.3	MAP7D1
ENST00000373148.5	MAP7D1
ENST00000532131.1	MAP7D1
ENST00000487114.1	MAP7D1
ENST00000579043.2	RN7SL131P
ENST00000469141.6	THRAP3
ENST00000648638.1	THRAP3
ENST00000354618.10	THRAP3
ENST00000447495.1	UBE2V2P4
ENST00000466743.1	THRAP3
ENST00000453908.8	SH3D21
ENST00000505871.7	SH3D21
ENST00000480549.6	SH3D21
ENST00000496636.1	SH3D21
ENST00000508854.2	SH3D21
ENST00000474766.1	SH3D21
ENST00000672976.1	SH3D21
ENST00000270824.1	EVA1B
ENST00000490466.1	EVA1B
ENST00000373137.2	SH3D21
ENST00000672313.1	SH3D21
ENST00000657488.1	AL591845.1
ENST00000359297.6	STK40
ENST00000373129.7	STK40
ENST00000373130.7	STK40
ENST00000373132.4	STK40
ENST00000460417.5	STK40
ENST00000473733.5	STK40
ENST00000482458.1	STK40
ENST00000460017.1	STK40
ENST00000476041.1	LSM10
ENST00000315732.3	LSM10
ENST00000489912.1	LSM10
ENST00000410889.1	RNU4-27P
ENST00000468441.5	OSCP1
ENST00000495222.5	OSCP1
ENST00000235532.9	OSCP1
ENST00000356637.9	OSCP1
ENST00000471369.1	OSCP1
ENST00000433045.6	OSCP1
ENST00000445843.7	OSCP1
ENST00000364578.1	SNORA63C
ENST00000475160.1	OSCP1
ENST00000525869.1	OSCP1
ENST00000528112.1	OSCP1
ENST00000354267.3	OSCP1
ENST00000524789.1	OSCP1
ENST00000373116.6	MRPS15
ENST00000488606.5	MRPS15
ENST00000477040.1	MRPS15
ENST00000462067.1	MRPS15
ENST00000373106.6	CSF3R
ENST00000373103.5	CSF3R
ENST00000373104.5	CSF3R
ENST00000480825.6	CSF3R
ENST00000361632.8	CSF3R
ENST00000464465.6	CSF3R
ENST00000331941.6	CSF3R
ENST00000487540.6	CSF3R
ENST00000484762.1	CSF3R
ENST00000466138.1	CSF3R
ENST00000464365.2	CSF3R
ENST00000469380.1	CSF3R
ENST00000526980.5	CSF3R
ENST00000489551.5	CSF3R
ENST00000533491.1	CSF3R
ENST00000453860.1	FTLP18
ENST00000641463.1	AL596257.1
ENST00000642109.1	AC117945.2
ENST00000664693.1	AC117945.1
ENST00000451375.1	AC117945.1
ENST00000373091.8	GRIK3
ENST00000373093.4	GRIK3
ENST00000462621.1	GRIK3
ENST00000479620.1	GRIK3
ENST00000642067.1	AL031430.1
ENST00000657513.1	AL353604.1
ENST00000655056.1	AL353604.1
ENST00000579351.1	MIR4255
ENST00000384598.1	RNU6-636P
ENST00000413901.1	AL353604.1
ENST00000516559.1	RNA5SP43
ENST00000438196.2	RPS29P6
ENST00000668045.1	LINC01137
ENST00000424989.1	LINC01137
ENST00000640233.1	ZC3H12A
ENST00000373087.7	ZC3H12A
ENST00000472312.1	ZC3H12A
ENST00000619365.1	MIR6732
ENST00000471012.1	ZC3H12A
ENST00000296214.10	MEAF6
ENST00000373075.6	MEAF6
ENST00000373074.5	MEAF6
ENST00000475828.5	MEAF6
ENST00000487788.5	MEAF6
ENST00000373073.8	MEAF6
ENST00000487792.5	MEAF6
ENST00000448519.2	MEAF6
ENST00000580821.1	MIR5581
ENST00000485039.1	MEAF6
ENST00000296215.8	SNIP1
ENST00000638725.1	SNIP1
ENST00000468040.2	SNIP1
ENST00000437933.1	FTH1P1
ENST00000493916.1	SNIP1
ENST00000423216.2	AL034379.1
ENST00000296218.8	DNALI1
ENST00000652629.1	DNALI1
ENST00000490312.1	DNALI1
ENST00000466723.1	DNALI1
ENST00000497858.1	DNALI1
ENST00000467277.1	DNALI1
ENST00000490029.1	GNL2
ENST00000373062.8	GNL2
ENST00000462812.5	GNL2
ENST00000479255.1	GNL2
ENST00000538069.2	GNL2
ENST00000469191.1	GNL2
ENST00000489146.1	GNL2
ENST00000463351.1	GNL2
ENST00000488496.1	GNL2
ENST00000641190.1	AL513220.1
ENST00000612451.4	RSPO1
ENST00000615459.4	RSPO1
ENST00000356545.7	RSPO1
ENST00000401068.1	RSPO1
ENST00000358011.8	C1orf109
ENST00000494120.1	C1orf109
ENST00000609516.1	C1orf109
ENST00000464178.1	C1orf109
ENST00000464085.5	C1orf109
ENST00000491981.5	C1orf109
ENST00000461359.5	C1orf109
ENST00000477060.1	C1orf109
ENST00000486637.1	C1orf109
ENST00000491797.1	C1orf109
ENST00000488137.5	C1orf109
ENST00000472584.1	C1orf109
ENST00000619962.1	C1orf109
ENST00000498448.1	C1orf109
ENST00000327331.2	CDCA8
ENST00000373055.6	CDCA8
ENST00000432874.7	EPHA10
ENST00000534097.5	EPHA10
ENST00000437645.5	EPHA10
ENST00000444950.1	EPHA10
ENST00000446149.6	EPHA10
ENST00000427468.6	EPHA10
ENST00000373048.9	EPHA10
ENST00000453577.1	EPHA10
ENST00000540011.2	EPHA10
ENST00000525749.1	EPHA10
ENST00000363551.1	Y_RNA
ENST00000319637.6	EPHA10
ENST00000473049.1	ACTN4P2
ENST00000417484.1	AL929472.1
ENST00000373045.10	MANEAL
ENST00000397631.7	MANEAL
ENST00000532512.1	MANEAL
ENST00000525897.1	MANEAL
ENST00000329006.5	MANEAL
ENST00000433474.1	AL929472.3
ENST00000373044.3	YRDC
ENST00000373043.1	C1orf122
ENST00000419397.3	C1orf122
ENST00000468084.1	C1orf122
ENST00000373042.5	C1orf122
ENST00000373036.5	MTF1
ENST00000447422.1	AL929472.4
ENST00000468190.1	MTF1
ENST00000419993.1	AL929472.2
ENST00000373027.5	INPP5B
ENST00000458109.6	INPP5B
ENST00000373024.8	INPP5B
ENST00000373023.6	INPP5B
ENST00000373026.5	INPP5B
ENST00000487328.1	INPP5B
ENST00000470364.5	INPP5B
ENST00000474758.1	INPP5B
ENST00000516639.1	SNORA63
ENST00000410350.1	RNU6-584P
ENST00000467066.1	INPP5B
ENST00000373021.1	INPP5B
ENST00000491406.2	INPP5B
ENST00000616313.1	Metazoa_SRP
ENST00000373019.5	SF3A3
ENST00000487062.1	SF3A3
ENST00000460925.1	SF3A3
ENST00000489537.5	SF3A3
ENST00000461869.5	SF3A3
ENST00000470585.5	SF3A3
ENST00000488934.1	SF3A3
ENST00000462258.1	SF3A3
ENST00000391239.1	RNU6-510P
ENST00000485803.5	FHL3
ENST00000373016.4	FHL3
ENST00000475084.5	FHL3
ENST00000477194.5	FHL3
ENST00000483132.1	FHL3
ENST00000483182.5	UTP11
ENST00000486563.1	UTP11
ENST00000373014.5	UTP11
ENST00000488453.1	UTP11
ENST00000373012.5	POU3F1
ENST00000432922.5	MIR3659HG
ENST00000428151.1	MIR3659HG
ENST00000424719.2	AL139158.1
ENST00000582606.1	MIR3659
ENST00000641212.1	LINC02786
ENST00000655033.1	AL390839.1
ENST00000671301.1	AL390839.2
ENST00000431311.1	LINC01343
ENST00000649079.1	LINC01343
ENST00000611376.1	AL513479.1
ENST00000363926.1	RNU6-753P
ENST00000658664.1	LINC01685
ENST00000452971.2	LINC01685
ENST00000658241.1	LINC01685
ENST00000665359.1	LINC01685
ENST00000634732.1	LINC01685
ENST00000658982.1	LINC01685
ENST00000634464.2	LINC01685
ENST00000660113.1	LINC01685
ENST00000658851.1	LINC01685
ENST00000658172.1	LINC01685
ENST00000659619.1	LINC01685
ENST00000654266.1	LINC01685
